😀,b'\\U0001F600',grinning face face grin
👩🏽‍⚕️,b'\\U0001F469\\U0001F3FD\\U0000200D\\U00002695\\U0000FE0F',woman health worker: medium skin tone doctor healthcare medium skin tone nurse therapist woman
👩🏾‍⚕️,b'\\U0001F469\\U0001F3FE\\U0000200D\\U00002695\\U0000FE0F',woman health worker: medium-dark skin tone doctor healthcare medium-dark skin tone nurse therapist woman
👩🏿‍⚕️,b'\\U0001F469\\U0001F3FF\\U0000200D\\U00002695\\U0000FE0F',woman health worker: dark skin tone dark skin tone doctor healthcare nurse therapist woman
👨‍🎓,b'\\U0001F468\\U0000200D\\U0001F393',man student graduate man student
👨🏻‍🎓,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F393',man student: light skin tone graduate light skin tone man student
👨🏼‍🎓,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F393',man student: medium-light skin tone graduate man medium-light skin tone student
👨🏽‍🎓,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F393',man student: medium skin tone graduate man medium skin tone student
👨🏾‍🎓,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F393',man student: medium-dark skin tone graduate man medium-dark skin tone student
👨🏿‍🎓,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F393',man student: dark skin tone dark skin tone graduate man student
👩‍🎓,b'\\U0001F469\\U0000200D\\U0001F393',woman student graduate student woman
👩🏻‍🎓,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F393',woman student: light skin tone graduate light skin tone student woman
👩🏼‍🎓,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F393',woman student: medium-light skin tone graduate medium-light skin tone student woman
👩🏽‍🎓,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F393',woman student: medium skin tone graduate medium skin tone student woman
👩🏾‍🎓,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F393',woman student: medium-dark skin tone graduate medium-dark skin tone student woman
