😀,b'\\U0001F600',grinning face face grin
🏋🏽‍♀️,b'\\U0001F3CB\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman lifting weights: medium skin tone medium skin tone weight lifter woman
🏋🏾‍♀️,b'\\U0001F3CB\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman lifting weights: medium-dark skin tone medium-dark skin tone weight lifter woman
🏋🏿‍♀️,b'\\U0001F3CB\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman lifting weights: dark skin tone dark skin tone weight lifter woman
🚴,b'\\U0001F6B4',person biking bicycle biking cyclist
🚴🏻,b'\\U0001F6B4\\U0001F3FB',person biking: light skin tone bicycle biking cyclist light skin tone
🚴🏼,b'\\U0001F6B4\\U0001F3FC',person biking: medium-light skin tone bicycle biking cyclist medium-light skin tone
🚴🏽,b'\\U0001F6B4\\U0001F3FD',person biking: medium skin tone bicycle biking cyclist medium skin tone
🚴🏾,b'\\U0001F6B4\\U0001F3FE',person biking: medium-dark skin tone bicycle biking cyclist medium-dark skin tone
🚴🏿,b'\\U0001F6B4\\U0001F3FF',person biking: dark skin tone bicycle biking cyclist dark skin tone
🚴‍♂️,b'\\U0001F6B4\\U0000200D\\U00002642\\U0000FE0F',man biking bicycle biking cyclist man
🚴🏻‍♂️,b'\\U0001F6B4\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man biking: light skin tone bicycle biking cyclist light skin tone man
🚴🏼‍♂️,b'\\U0001F6B4\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man biking: medium-light skin tone bicycle biking cyclist man medium-light skin tone
🚴🏽‍♂️,b'\\U0001F6B4\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man biking: medium skin tone bicycle biking cyclist man medium skin tone
🚴🏾‍♂️,b'\\U0001F6B4\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man biking: medium-dark skin tone bicycle biking cyclist man medium-dark skin tone
🚴🏿‍♂️,b'\\U0001F6B4\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man biking: dark skin tone bicycle biking cyclist dark skin tone man
🚴‍♀️,b'\\U0001F6B4\\U0000200D\\U00002640\\U0000FE0F',woman biking bicycle biking cyclist woman
🚴🏻‍♀️,b'\\U0001F6B4\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman biking: light skin tone bicycle biking cyclist light skin tone woman
🚴🏼‍♀️,b'\\U0001F6B4\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman biking: medium-light skin tone bicycle biking cyclist medium-light skin tone woman
🚴🏽‍♀️,b'\\U0001F6B4\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman biking: medium skin tone bicycle biking cyclist medium skin tone woman
🚴🏾‍♀️,b'\\U0001F6B4\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman biking: medium-dark skin tone bicycle biking cyclist medium-dark skin tone woman
🚴🏿‍♀️,b'\\U0001F6B4\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman biking: dark skin tone bicycle biking cyclist dark skin tone woman
🚵,b'\\U0001F6B5',person mountain biking bicycle bicyclist bike cyclist mountain
🚵🏻,b'\\U0001F6B5\\U0001F3FB',person mountain biking: light skin tone bicycle bicyclist bike cyclist light skin tone mountain
🚵🏼,b'\\U0001F6B5\\U0001F3FC',person mountain biking: medium-light skin tone bicycle bicyclist bike cyclist medium-light skin tone mountain
🚵🏽,b'\\U0001F6B5\\U0001F3FD',person mountain biking: medium skin tone bicycle bicyclist bike cyclist medium skin tone mountain
🚵🏾,b'\\U0001F6B5\\U0001F3FE',person mountain biking: medium-dark skin tone bicycle bicyclist bike cyclist medium-dark skin tone mountain
🚵🏿,b'\\U0001F6B5\\U0001F3FF',person mountain biking: dark skin tone bicycle bicyclist bike cyclist dark skin tone mountain
🚵‍♂️,b'\\U0001F6B5\\U0000200D\\U00002642\\U0000FE0F',man mountain biking bicycle bike cyclist man mountain
🚵🏻‍♂️,b'\\U0001F6B5\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man mountain biking: light skin tone bicycle bike cyclist light skin tone man mountain
🚵🏼‍♂️,b'\\U0001F6B5\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man mountain biking: medium-light skin tone bicycle bike cyclist man medium-light skin tone mountain
🚵🏽‍♂️,b'\\U0001F6B5\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man mountain biking: medium skin tone bicycle bike cyclist man medium skin tone mountain
🚵🏾‍♂️,b'\\U0001F6B5\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man mountain biking: medium-dark skin tone bicycle bike cyclist man medium-dark skin tone mountain
🚵🏿‍♂️,b'\\U0001F6B5\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man mountain biking: dark skin tone bicycle bike cyclist dark skin tone man mountain
🚵‍♀️,b'\\U0001F6B5\\U0000200D\\U00002640\\U0000FE0F',woman mountain biking bicycle bike biking cyclist mountain woman
🚵🏻‍♀️,b'\\U0001F6B5\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman mountain biking: light skin tone bicycle bike biking cyclist light skin tone mountain woman
🚵🏼‍♀️,b'\\U0001F6B5\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman mountain biking: medium-light skin tone bicycle bike biking cyclist medium-light skin tone mountain woman
🚵🏽‍♀️,b'\\U0001F6B5\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman mountain biking: medium skin tone bicycle bike biking cyclist medium skin tone mountain woman
🚵🏾‍♀️,b'\\U0001F6B5\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman mountain biking: medium-dark skin tone bicycle bike biking cyclist medium-dark skin tone mountain woman
🚵🏿‍♀️,b'\\U0001F6B5\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman mountain biking: dark skin tone bicycle bike biking cyclist dark skin tone mountain woman
🏎,b'\\U0001F3CE',racing car car racing
🏍,b'\\U0001F3CD',motorcycle racing
🤸,b'\\U0001F938',person cartwheeling cartwheel gymnastics
🤸🏻,b'\\U0001F938\\U0001F3FB',person cartwheeling: light skin tone cartwheel gymnastics light skin tone
🤸🏼,b'\\U0001F938\\U0001F3FC',person cartwheeling: medium-light skin tone cartwheel gymnastics medium-light skin tone
🤸🏽,b'\\U0001F938\\U0001F3FD',person cartwheeling: medium skin tone cartwheel gymnastics medium skin tone
🤸🏾,b'\\U0001F938\\U0001F3FE',person cartwheeling: medium-dark skin tone cartwheel gymnastics medium-dark skin tone
🤸🏿,b'\\U0001F938\\U0001F3FF',person cartwheeling: dark skin tone cartwheel dark skin tone gymnastics
🤸‍♂️,b'\\U0001F938\\U0000200D\\U00002642\\U0000FE0F',man cartwheeling cartwheel gymnastics man
🤸🏻‍♂️,b'\\U0001F938\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man cartwheeling: light skin tone cartwheel gymnastics light skin tone man
🤸🏼‍♂️,b'\\U0001F938\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man cartwheeling: medium-light skin tone cartwheel gymnastics man medium-light skin tone
🤸🏽‍♂️,b'\\U0001F938\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man cartwheeling: medium skin tone cartwheel gymnastics man medium skin tone
🤸🏾‍♂️,b'\\U0001F938\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man cartwheeling: medium-dark skin tone cartwheel gymnastics man medium-dark skin tone
🤸🏿‍♂️,b'\\U0001F938\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man cartwheeling: dark skin tone cartwheel dark skin tone gymnastics man
🤸‍♀️,b'\\U0001F938\\U0000200D\\U00002640\\U0000FE0F',woman cartwheeling cartwheel gymnastics woman
🤸🏻‍♀️,b'\\U0001F938\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman cartwheeling: light skin tone cartwheel gymnastics light skin tone woman
🤸🏼‍♀️,b'\\U0001F938\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman cartwheeling: medium-light skin tone cartwheel gymnastics medium-light skin tone woman
🤸🏽‍♀️,b'\\U0001F938\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman cartwheeling: medium skin tone cartwheel gymnastics medium skin tone woman
🤸🏾‍♀️,b'\\U0001F938\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman cartwheeling: medium-dark skin tone cartwheel gymnastics medium-dark skin tone woman
🤸🏿‍♀️,b'\\U0001F938\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman cartwheeling: dark skin tone cartwheel dark skin tone gymnastics woman
🤼,b'\\U0001F93C',people wrestling wrestle wrestler
🤼‍♂️,b'\\U0001F93C\\U0000200D\\U00002642\\U0000FE0F',men wrestling men wrestle
🤼‍♀️,b'\\U0001F93C\\U0000200D\\U00002640\\U0000FE0F',women wrestling women wrestle
🤽,b'\\U0001F93D',person playing water polo polo water
🤽🏻,b'\\U0001F93D\\U0001F3FB',person playing water polo: light skin tone light skin tone polo water
🤽🏼,b'\\U0001F93D\\U0001F3FC',person playing water polo: medium-light skin tone medium-light skin tone polo water
🤽🏽,b'\\U0001F93D\\U0001F3FD',person playing water polo: medium skin tone medium skin tone polo water
🤽🏾,b'\\U0001F93D\\U0001F3FE',person playing water polo: medium-dark skin tone medium-dark skin tone polo water
🤽🏿,b'\\U0001F93D\\U0001F3FF',person playing water polo: dark skin tone dark skin tone polo water
🤽‍♂️,b'\\U0001F93D\\U0000200D\\U00002642\\U0000FE0F',man playing water polo man water polo
🤽🏻‍♂️,b'\\U0001F93D\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man playing water polo: light skin tone light skin tone man water polo
🤽🏼‍♂️,b'\\U0001F93D\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man playing water polo: medium-light skin tone man medium-light skin tone water polo
🤽🏽‍♂️,b'\\U0001F93D\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man playing water polo: medium skin tone man medium skin tone water polo
🤽🏾‍♂️,b'\\U0001F93D\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man playing water polo: medium-dark skin tone man medium-dark skin tone water polo
🤽🏿‍♂️,b'\\U0001F93D\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man playing water polo: dark skin tone dark skin tone man water polo
🤽‍♀️,b'\\U0001F93D\\U0000200D\\U00002640\\U0000FE0F',woman playing water polo water polo woman
🤽🏻‍♀️,b'\\U0001F93D\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman playing water polo: light skin tone light skin tone water polo woman
🤽🏼‍♀️,b'\\U0001F93D\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman playing water polo: medium-light skin tone medium-light skin tone water polo woman
🤽🏽‍♀️,b'\\U0001F93D\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman playing water polo: medium skin tone medium skin tone water polo woman
🤽🏾‍♀️,b'\\U0001F93D\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman playing water polo: medium-dark skin tone medium-dark skin tone water polo woman
🤽🏿‍♀️,b'\\U0001F93D\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman playing water polo: dark skin tone dark skin tone water polo woman
🤾,b'\\U0001F93E',person playing handball ball handball
🤾🏻,b'\\U0001F93E\\U0001F3FB',person playing handball: light skin tone ball handball light skin tone
🤾🏼,b'\\U0001F93E\\U0001F3FC',person playing handball: medium-light skin tone ball handball medium-light skin tone
🤾🏽,b'\\U0001F93E\\U0001F3FD',person playing handball: medium skin tone ball handball medium skin tone
🤾🏾,b'\\U0001F93E\\U0001F3FE',person playing handball: medium-dark skin tone ball handball medium-dark skin tone
🤾🏿,b'\\U0001F93E\\U0001F3FF',person playing handball: dark skin tone ball dark skin tone handball
🤾‍♂️,b'\\U0001F93E\\U0000200D\\U00002642\\U0000FE0F',man playing handball handball man
🤾🏻‍♂️,b'\\U0001F93E\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man playing handball: light skin tone handball light skin tone man
🤾🏼‍♂️,b'\\U0001F93E\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man playing handball: medium-light skin tone handball man medium-light skin tone
🤾🏽‍♂️,b'\\U0001F93E\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man playing handball: medium skin tone handball man medium skin tone
🤾🏾‍♂️,b'\\U0001F93E\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man playing handball: medium-dark skin tone handball man medium-dark skin tone
🤾🏿‍♂️,b'\\U0001F93E\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man playing handball: dark skin tone dark skin tone handball man
🤾‍♀️,b'\\U0001F93E\\U0000200D\\U00002640\\U0000FE0F',woman playing handball handball woman
🤾🏻‍♀️,b'\\U0001F93E\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman playing handball: light skin tone handball light skin tone woman
🤾🏼‍♀️,b'\\U0001F93E\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman playing handball: medium-light skin tone handball medium-light skin tone woman
🤾🏽‍♀️,b'\\U0001F93E\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman playing handball: medium skin tone handball medium skin tone woman
🤾🏾‍♀️,b'\\U0001F93E\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman playing handball: medium-dark skin tone handball medium-dark skin tone woman
🤾🏿‍♀️,b'\\U0001F93E\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman playing handball: dark skin tone dark skin tone handball woman
🤹,b'\\U0001F939',person juggling balance juggle multitask skill
🤹🏻,b'\\U0001F939\\U0001F3FB',person juggling: light skin tone balance juggle light skin tone multitask skill
🤹🏼,b'\\U0001F939\\U0001F3FC',person juggling: medium-light skin tone balance juggle medium-light skin tone multitask skill
🤹🏽,b'\\U0001F939\\U0001F3FD',person juggling: medium skin tone balance juggle medium skin tone multitask skill
🤹🏾,b'\\U0001F939\\U0001F3FE',person juggling: medium-dark skin tone balance juggle medium-dark skin tone multitask skill
🤹🏿,b'\\U0001F939\\U0001F3FF',person juggling: dark skin tone balance dark skin tone juggle multitask skill
🤹‍♂️,b'\\U0001F939\\U0000200D\\U00002642\\U0000FE0F',man juggling juggling man multitask
🤹🏻‍♂️,b'\\U0001F939\\U0001F3FB\\U0000200D\\U00002642\\U0000FE0F',man juggling: light skin tone juggling light skin tone man multitask
🤹🏼‍♂️,b'\\U0001F939\\U0001F3FC\\U0000200D\\U00002642\\U0000FE0F',man juggling: medium-light skin tone juggling man medium-light skin tone multitask
🤹🏽‍♂️,b'\\U0001F939\\U0001F3FD\\U0000200D\\U00002642\\U0000FE0F',man juggling: medium skin tone juggling man medium skin tone multitask
🤹🏾‍♂️,b'\\U0001F939\\U0001F3FE\\U0000200D\\U00002642\\U0000FE0F',man juggling: medium-dark skin tone juggling man medium-dark skin tone multitask
🤹🏿‍♂️,b'\\U0001F939\\U0001F3FF\\U0000200D\\U00002642\\U0000FE0F',man juggling: dark skin tone dark skin tone juggling man multitask
🤹‍♀️,b'\\U0001F939\\U0000200D\\U00002640\\U0000FE0F',woman juggling juggling multitask woman
🤹🏻‍♀️,b'\\U0001F939\\U0001F3FB\\U0000200D\\U00002640\\U0000FE0F',woman juggling: light skin tone juggling light skin tone multitask woman
🤹🏼‍♀️,b'\\U0001F939\\U0001F3FC\\U0000200D\\U00002640\\U0000FE0F',woman juggling: medium-light skin tone juggling medium-light skin tone multitask woman
🤹🏽‍♀️,b'\\U0001F939\\U0001F3FD\\U0000200D\\U00002640\\U0000FE0F',woman juggling: medium skin tone juggling medium skin tone multitask woman
🤹🏾‍♀️,b'\\U0001F939\\U0001F3FE\\U0000200D\\U00002640\\U0000FE0F',woman juggling: medium-dark skin tone juggling medium-dark skin tone multitask woman
🤹🏿‍♀️,b'\\U0001F939\\U0001F3FF\\U0000200D\\U00002640\\U0000FE0F',woman juggling: dark skin tone dark skin tone juggling multitask woman
👫,b'\\U0001F46B',man and woman holding hands couple hand hold man woman
👬,b'\\U0001F46C',two men holding hands couple Gemini hand hold man twins zodiac
👭,b'\\U0001F46D',two women holding hands couple hand hold woman
💏,b'\\U0001F48F',kiss couple
👩‍❤️‍💋‍👨,b'\\U0001F469\\U0000200D\\U00002764\\U0000FE0F\\U0000200D\\U0001F48B\\U0000200D\\U0001F468',"kiss: woman, man couple man woman"
👨‍❤️‍💋‍👨,b'\\U0001F468\\U0000200D\\U00002764\\U0000FE0F\\U0000200D\\U0001F48B\\U0000200D\\U0001F468',"kiss: man, man couple man"
👩‍❤️‍💋‍👩,b'\\U0001F469\\U0000200D\\U00002764\\U0000FE0F\\U0000200D\\U0001F48B\\U0000200D\\U0001F469',"kiss: woman, woman couple woman"
💑,b'\\U0001F491',couple with heart couple love
👩‍❤️‍👨,b'\\U0001F469\\U0000200D\\U00002764\\U0000FE0F\\U0000200D\\U0001F468',"couple with heart: woman, man couple love man woman"
👨‍❤️‍👨,b'\\U0001F468\\U0000200D\\U00002764\\U0000FE0F\\U0000200D\\U0001F468',"couple with heart: man, man couple love man"
👩‍❤️‍👩,b'\\U0001F469\\U0000200D\\U00002764\\U0000FE0F\\U0000200D\\U0001F469',"couple with heart: woman, woman couple love woman"
👪,b'\\U0001F46A',family family
👨‍👩‍👦,b'\\U0001F468\\U0000200D\\U0001F469\\U0000200D\\U0001F466',"family: man, woman, boy boy family man woman"
👨‍👩‍👧,b'\\U0001F468\\U0000200D\\U0001F469\\U0000200D\\U0001F467',"family: man, woman, girl family girl man woman"
👨‍👩‍👧‍👦,b'\\U0001F468\\U0000200D\\U0001F469\\U0000200D\\U0001F467\\U0000200D\\U0001F466',"family: man, woman, girl, boy boy family girl man woman"
👨‍👩‍👦‍👦,b'\\U0001F468\\U0000200D\\U0001F469\\U0000200D\\U0001F466\\U0000200D\\U0001F466',"family: man, woman, boy, boy boy family man woman"
👨‍👩‍👧‍👧,b'\\U0001F468\\U0000200D\\U0001F469\\U0000200D\\U0001F467\\U0000200D\\U0001F467',"family: man, woman, girl, girl family girl man woman"
👨‍👨‍👦,b'\\U0001F468\\U0000200D\\U0001F468\\U0000200D\\U0001F466',"family: man, man, boy boy family man"
👨‍👨‍👧,b'\\U0001F468\\U0000200D\\U0001F468\\U0000200D\\U0001F467',"family: man, man, girl family girl man"
👨‍👨‍👧‍👦,b'\\U0001F468\\U0000200D\\U0001F468\\U0000200D\\U0001F467\\U0000200D\\U0001F466',"family: man, man, girl, boy boy family girl man"
👨‍👨‍👦‍👦,b'\\U0001F468\\U0000200D\\U0001F468\\U0000200D\\U0001F466\\U0000200D\\U0001F466',"family: man, man, boy, boy boy family man"
👨‍👨‍👧‍👧,b'\\U0001F468\\U0000200D\\U0001F468\\U0000200D\\U0001F467\\U0000200D\\U0001F467',"family: man, man, girl, girl family girl man"
👩‍👩‍👦,b'\\U0001F469\\U0000200D\\U0001F469\\U0000200D\\U0001F466',"family: woman, woman, boy boy family woman"
👩‍👩‍👧,b'\\U0001F469\\U0000200D\\U0001F469\\U0000200D\\U0001F467',"family: woman, woman, girl family girl woman"
👩‍👩‍👧‍👦,b'\\U0001F469\\U0000200D\\U0001F469\\U0000200D\\U0001F467\\U0000200D\\U0001F466',"family: woman, woman, girl, boy boy family girl woman"
👩‍👩‍👦‍👦,b'\\U0001F469\\U0000200D\\U0001F469\\U0000200D\\U0001F466\\U0000200D\\U0001F466',"family: woman, woman, boy, boy boy family woman"
👩‍👩‍👧‍👧,b'\\U0001F469\\U0000200D\\U0001F469\\U0000200D\\U0001F467\\U0000200D\\U0001F467',"family: woman, woman, girl, girl family girl woman"
👨‍👦,b'\\U0001F468\\U0000200D\\U0001F466',"family: man, boy boy family man"
👨‍👦‍👦,b'\\U0001F468\\U0000200D\\U0001F466\\U0000200D\\U0001F466',"family: man, boy, boy boy family man"
👨‍👧,b'\\U0001F468\\U0000200D\\U0001F467',"family: man, girl family girl man"
👨‍👧‍👦,b'\\U0001F468\\U0000200D\\U0001F467\\U0000200D\\U0001F466',"family: man, girl, boy boy family girl man"
👨‍👧‍👧,b'\\U0001F468\\U0000200D\\U0001F467\\U0000200D\\U0001F467',"family: man, girl, girl family girl man"
👩‍👦,b'\\U0001F469\\U0000200D\\U0001F466',"family: woman, boy boy family woman"
👩‍👦‍👦,b'\\U0001F469\\U0000200D\\U0001F466\\U0000200D\\U0001F466',"family: woman, boy, boy boy family woman"
👩‍👧,b'\\U0001F469\\U0000200D\\U0001F467',"family: woman, girl family girl woman"
👩‍👧‍👦,b'\\U0001F469\\U0000200D\\U0001F467\\U0000200D\\U0001F466',"family: woman, girl, boy boy family girl woman"
👩‍👧‍👧,b'\\U0001F469\\U0000200D\\U0001F467\\U0000200D\\U0001F467',"family: woman, girl, girl family girl woman"
🏻,b'\\U0001F3FB',light skin tone skin tone type 1–2
🏼,b'\\U0001F3FC',medium-light skin tone skin tone type 3
🏽,b'\\U0001F3FD',medium skin tone skin tone type 4
🏾,b'\\U0001F3FE',medium-dark skin tone skin tone type 5
🏿,b'\\U0001F3FF',dark skin tone skin tone type 6
💪,b'\\U0001F4AA',flexed biceps biceps comic flex muscle
💪🏻,b'\\U0001F4AA\\U0001F3FB',flexed biceps: light skin tone biceps comic flex light skin tone muscle
💪🏼,b'\\U0001F4AA\\U0001F3FC',flexed biceps: medium-light skin tone biceps comic flex medium-light skin tone muscle
💪🏽,b'\\U0001F4AA\\U0001F3FD',flexed biceps: medium skin tone biceps comic flex medium skin tone muscle
💪🏾,b'\\U0001F4AA\\U0001F3FE',flexed biceps: medium-dark skin tone biceps comic flex medium-dark skin tone muscle
💪🏿,b'\\U0001F4AA\\U0001F3FF',flexed biceps: dark skin tone biceps comic dark skin tone flex muscle
🤳,b'\\U0001F933',selfie camera phone selfie
🤳🏻,b'\\U0001F933\\U0001F3FB',selfie: light skin tone camera light skin tone phone selfie
🤳🏼,b'\\U0001F933\\U0001F3FC',selfie: medium-light skin tone camera medium-light skin tone phone selfie
🤳🏽,b'\\U0001F933\\U0001F3FD',selfie: medium skin tone camera medium skin tone phone selfie
🤳🏾,b'\\U0001F933\\U0001F3FE',selfie: medium-dark skin tone camera medium-dark skin tone phone selfie
🤳🏿,b'\\U0001F933\\U0001F3FF',selfie: dark skin tone camera dark skin tone phone selfie
👈,b'\\U0001F448',backhand index pointing left backhand finger hand index point
👈🏻,b'\\U0001F448\\U0001F3FB',backhand index pointing left: light skin tone backhand finger hand index light skin tone point
👈🏼,b'\\U0001F448\\U0001F3FC',backhand index pointing left: medium-light skin tone backhand finger hand index medium-light skin tone point
👈🏽,b'\\U0001F448\\U0001F3FD',backhand index pointing left: medium skin tone backhand finger hand index medium skin tone point
👈🏾,b'\\U0001F448\\U0001F3FE',backhand index pointing left: medium-dark skin tone backhand finger hand index medium-dark skin tone point
👈🏿,b'\\U0001F448\\U0001F3FF',backhand index pointing left: dark skin tone backhand dark skin tone finger hand index point
👉,b'\\U0001F449',backhand index pointing right backhand finger hand index point
👉🏻,b'\\U0001F449\\U0001F3FB',backhand index pointing right: light skin tone backhand finger hand index light skin tone point
👉🏼,b'\\U0001F449\\U0001F3FC',backhand index pointing right: medium-light skin tone backhand finger hand index medium-light skin tone point
👉🏽,b'\\U0001F449\\U0001F3FD',backhand index pointing right: medium skin tone backhand finger hand index medium skin tone point
👉🏾,b'\\U0001F449\\U0001F3FE',backhand index pointing right: medium-dark skin tone backhand finger hand index medium-dark skin tone point
👉🏿,b'\\U0001F449\\U0001F3FF',backhand index pointing right: dark skin tone backhand dark skin tone finger hand index point
☝,b'\\U0000261D',index pointing up finger hand index point up
☝🏻,b'\\U0000261D\\U0001F3FB',index pointing up: light skin tone finger hand index light skin tone point up
☝🏼,b'\\U0000261D\\U0001F3FC',index pointing up: medium-light skin tone finger hand index medium-light skin tone point up
☝🏽,b'\\U0000261D\\U0001F3FD',index pointing up: medium skin tone finger hand index medium skin tone point up
☝🏾,b'\\U0000261D\\U0001F3FE',index pointing up: medium-dark skin tone finger hand index medium-dark skin tone point up
☝🏿,b'\\U0000261D\\U0001F3FF',index pointing up: dark skin tone dark skin tone finger hand index point up
👆,b'\\U0001F446',backhand index pointing up backhand finger hand index point up
👆🏻,b'\\U0001F446\\U0001F3FB',backhand index pointing up: light skin tone backhand finger hand index light skin tone point up
👆🏼,b'\\U0001F446\\U0001F3FC',backhand index pointing up: medium-light skin tone backhand finger hand index medium-light skin tone point up
👆🏽,b'\\U0001F446\\U0001F3FD',backhand index pointing up: medium skin tone backhand finger hand index medium skin tone point up
👆🏾,b'\\U0001F446\\U0001F3FE',backhand index pointing up: medium-dark skin tone backhand finger hand index medium-dark skin tone point up
👆🏿,b'\\U0001F446\\U0001F3FF',backhand index pointing up: dark skin tone backhand dark skin tone finger hand index point up
🖕,b'\\U0001F595',middle finger finger hand
🖕🏻,b'\\U0001F595\\U0001F3FB',middle finger: light skin tone finger hand light skin tone
🖕🏼,b'\\U0001F595\\U0001F3FC',middle finger: medium-light skin tone finger hand medium-light skin tone
🖕🏽,b'\\U0001F595\\U0001F3FD',middle finger: medium skin tone finger hand medium skin tone
🖕🏾,b'\\U0001F595\\U0001F3FE',middle finger: medium-dark skin tone finger hand medium-dark skin tone
🖕🏿,b'\\U0001F595\\U0001F3FF',middle finger: dark skin tone dark skin tone finger hand
👇,b'\\U0001F447',backhand index pointing down backhand down finger hand index point
👇🏻,b'\\U0001F447\\U0001F3FB',backhand index pointing down: light skin tone backhand down finger hand index light skin tone point
👇🏼,b'\\U0001F447\\U0001F3FC',backhand index pointing down: medium-light skin tone backhand down finger hand index medium-light skin tone point
👇🏽,b'\\U0001F447\\U0001F3FD',backhand index pointing down: medium skin tone backhand down finger hand index medium skin tone point
👇🏾,b'\\U0001F447\\U0001F3FE',backhand index pointing down: medium-dark skin tone backhand down finger hand index medium-dark skin tone point
👇🏿,b'\\U0001F447\\U0001F3FF',backhand index pointing down: dark skin tone backhand dark skin tone down finger hand index point
✌,b'\\U0000270C',victory hand hand v victory
✌🏻,b'\\U0000270C\\U0001F3FB',victory hand: light skin tone hand light skin tone v victory
✌🏼,b'\\U0000270C\\U0001F3FC',victory hand: medium-light skin tone hand medium-light skin tone v victory
✌🏽,b'\\U0000270C\\U0001F3FD',victory hand: medium skin tone hand medium skin tone v victory
✌🏾,b'\\U0000270C\\U0001F3FE',victory hand: medium-dark skin tone hand medium-dark skin tone v victory
✌🏿,b'\\U0000270C\\U0001F3FF',victory hand: dark skin tone dark skin tone hand v victory
🤞,b'\\U0001F91E',crossed fingers cross finger hand luck
🤞🏻,b'\\U0001F91E\\U0001F3FB',crossed fingers: light skin tone cross finger hand light skin tone luck
🤞🏼,b'\\U0001F91E\\U0001F3FC',crossed fingers: medium-light skin tone cross finger hand luck medium-light skin tone
🤞🏽,b'\\U0001F91E\\U0001F3FD',crossed fingers: medium skin tone cross finger hand luck medium skin tone
🤞🏾,b'\\U0001F91E\\U0001F3FE',crossed fingers: medium-dark skin tone cross finger hand luck medium-dark skin tone
🤞🏿,b'\\U0001F91E\\U0001F3FF',crossed fingers: dark skin tone cross dark skin tone finger hand luck
🖖,b'\\U0001F596',vulcan salute finger hand spock vulcan
🖖🏻,b'\\U0001F596\\U0001F3FB',vulcan salute: light skin tone finger hand light skin tone spock vulcan
🖖🏼,b'\\U0001F596\\U0001F3FC',vulcan salute: medium-light skin tone finger hand medium-light skin tone spock vulcan
🖖🏽,b'\\U0001F596\\U0001F3FD',vulcan salute: medium skin tone finger hand medium skin tone spock vulcan
🖖🏾,b'\\U0001F596\\U0001F3FE',vulcan salute: medium-dark skin tone finger hand medium-dark skin tone spock vulcan
